epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.59937,0,99.0669,0,0,0,0,0,0,118.395,0,5.001e-05,5.001e-05,5.001e-05
2,14.5808,0,97.1893,0,0,0,0,0,0,118.656,0,0.000105138,0.000105138,0.000105138
3,22.0277,0,94.9877,0,0,0,0,0,0,118.376,0,0.000147063,0.000147063,0.000147063
4,29.008,0,92.0596,0,0,0,0,0,0,118.078,0,0.000175785,0.000175785,0.000175785
5,35.6696,0,88.5734,0,0,0,0,0,0,118.014,0,0.000191305,0.000191305,0.000191305
6,42.3247,0,86.6395,0,0,0,0,0,0,117.897,0,0.000193622,0.000193622,0.000193622
7,48.9234,0,84.3779,0,0,0,0,0,0,117.529,0,0.000182737,0.000182737,0.000182737
8,55.5507,0,82.3641,0,0,0,0,0,0,116.647,0,0.000158648,0.000158648,0.000158648
9,62.2352,0,80.7273,0,0,0,0,0,0,115.61,0,0.000121358,0.000121358,0.000121358
10,69.144,0,80.0653,0,0,0,0,0,0,114.783,0,7.08642e-05,7.08642e-05,7.08642e-05
